Year,Beef Tonnes,Cattle
1930,1300.0,857880.0
1931,400.0,765950.0
1932,200.0,645180.0
1933,2000.0,589860.0
1934,0.0,511100.0
1935,0.0,668180.0
1936,0.0,728080.0
1937,0.0,711140.0
1938,0.0,702290.0
1939,1000.0,783870.0
1940,300.0,635500.0
1941,16200.0,307070.0
1942,5700.0,616480.0
1943,1000.0,453140.0
1944,3100.0,445140.0
1945,3900.0,495550.0
1946,2300.0,461880.0
1947,700.0,482770.0
1948,700.0,372290.0
1949,1000.0,468050.0
1950,6500.0,494510.0
1951,16600.0,489530.0
1952,26000.0,481660.0
1953,26400.0,455930.0
1954,43900.0,617160.0
1955,17100.0,618730.0
1956,16300.0,674710.0
1957,27100.0,830540.0
1958,26600.0,653200.0
1959,35400.0,487680.0
1960,47900.0,541990.0
1961,74700.0,722400.0
1962,59800.0,575250.0
1963,61700.0,662760.0
1964,52700.0,793770.0
1965,55000.0,596590.0
1966,70000.0,624950.0
1967,148000.0,670980.0
1968,117100.0,625420.0
1969,121800.0,552690.0
1970,140400.0,529180.0
1971,147900.0,615550.0
1972,128900.0,598430.0
1973,131100.0,430120.0
1974,199000.0,447440.0
1975,270400.0,695310.0
1976,180000.0,370080.0
1977,262100.00000000003,453160.0
1978,261700.0,549750.0
1979,254900.0,327250.0
1980,343900.0,474270.0
1981,219000.0,431030.0
1982,209400.0,359270.0
1983,231500.0,431660.0
1984,210600.0,387700.0
1985,257899.99999999997,311950.0
1986,340200.0,322240.0
1987,341200.0,236450.0
1988,288600.0,235590.0
1989,340000.0,170290.0
1990,281400.0,184860.0
1991,286200.0,138090.0
1992,352900.0,186440.0
1993,344000.0,366040.0
1994,411800.0,396130.0
1995,424300.0,365630.0
1996,336900.0,188560.0
1997,340300.0,40010.0
1998,372200.0,138170.0
1999,465100.0,348080.0
2000,356700.0,331100.0
2001,214500.0,70000.0
2002,294900.0,78400.0
2003,319800.0,114700.0
2004,308400.0,70600.0
2005,311200.0,105600.0
2006,334700.0,135800.0
2007,329000.0,177500.0
2008,309300.0,133200.0
2009,301000.0,191700.0
2010,319400.0,273400.0
2011,338800.0,192100.0
2012,298000.0,131600.0
2013,300000.0,180900.0
2014,344400.0,207000.0
2015,320400.0,149000.0
2016,365100.0,124380.0
2017,371100.0,150290.0
2018,373900.0,191980.0
2019,388000.0,247860.0
2020,388500.0,308550.0
